2026-04-29 22:58:47,413 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-29 22:58:47,816 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-29 22:58:47,825 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-29 22:58:48,222 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-29 22:58:48,239 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-29 22:58:48,631 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-29 22:58:48,643 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-29 22:58:49,038 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-29 22:58:49,055 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-29 22:58:49,441 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-29 22:58:49,453 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-29 22:58:49,847 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-29 22:58:49,864 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-29 22:58:50,214 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-29 23:04:33,604 - INFO - Method: GET | Path: /docs | Status: 200 | IP: 127.0.0.1
2026-04-29 23:04:33,769 - INFO - Method: GET | Path: /openapi.json | Status: 200 | IP: 127.0.0.1
2026-04-29 23:06:42,834 - INFO - Method: GET | Path: /docs | Status: 200 | IP: 127.0.0.1
2026-04-29 23:06:42,930 - INFO - Method: GET | Path: /openapi.json | Status: 200 | IP: 127.0.0.1
2026-04-29 23:06:47,841 - INFO - Method: GET | Path: / | Status: 404 | IP: 127.0.0.1
2026-04-29 23:06:56,827 - INFO - Method: GET | Path: /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | IP: 127.0.0.1
2026-04-29 23:08:05,305 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-29 23:08:05,339 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-30 00:12:13,480 - INFO - Method: GET | Path: / | Status: 404 | IP: 127.0.0.1
2026-04-30 00:12:13,540 - INFO - Method: GET | Path: /favicon.ico | Status: 404 | IP: 127.0.0.1
2026-04-30 00:21:49,994 - INFO - Method: GET | Path: / | Status: 307 | IP: 127.0.0.1
2026-04-30 00:21:50,046 - INFO - Method: GET | Path: /frontend/index.html | Status: 200 | IP: 127.0.0.1
2026-04-30 00:21:50,082 - INFO - Method: GET | Path: /frontend/styles.css | Status: 404 | IP: 127.0.0.1
2026-04-30 00:21:50,085 - INFO - Method: GET | Path: /frontend/app.js | Status: 200 | IP: 127.0.0.1
2026-04-30 00:21:50,397 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-30 00:21:50,407 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-30 00:22:10,194 - INFO - Method: OPTIONS | Path: /students | Status: 200 | IP: 127.0.0.1
2026-04-30 00:22:10,199 - INFO - Method: POST | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-30 00:22:10,199 - INFO - Operation: CREAR_ESTUDIANTE | Path: /students | IP: 127.0.0.1 | Status: 307 | Datos: {"name":"THALIA","age":20,"grade":4.5}
2026-04-30 00:22:10,203 - INFO - Method: OPTIONS | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-30 00:22:10,230 - INFO - Method: POST | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-30 00:22:10,230 - INFO - Operation: CREAR_ESTUDIANTE | Path: /students/ | IP: 127.0.0.1 | Status: 200 | Datos: {"name":"THALIA","age":20,"grade":4.5}
2026-04-30 00:22:10,238 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-30 00:22:10,245 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-30 00:25:35,567 - INFO - Method: OPTIONS | Path: /students/1 | Status: 200 | IP: 127.0.0.1
2026-04-30 00:25:49,497 - INFO - Method: OPTIONS | Path: /students/1 | Status: 200 | IP: 127.0.0.1
2026-04-30 00:25:49,507 - INFO - Method: PUT | Path: /students/1 | Status: 200 | IP: 127.0.0.1
2026-04-30 00:25:49,508 - INFO - Operation: ACTUALIZAR_ESTUDIANTE | Path: /students/1 | IP: 127.0.0.1 | Status: 200 | Datos: {"name":"thalia","age":10,"grade":5}
2026-04-30 00:25:49,512 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-04-30 00:25:49,523 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-04-30 00:25:57,433 - INFO - Method: PUT | Path: /students/1 | Status: 200 | IP: 127.0.0.1
2026-04-30 00:25:57,433 - INFO - Operation: ACTUALIZAR_ESTUDIANTE | Path: /students/1 | IP: 127.0.0.1 | Status: 200 | Datos: {"name":"thalia","age":10,"grade":3}
